"directivity","event","channel","real","station_id","Acc_Max_EW","Acc_Max_NS","Acc_Max","Max_Sa_0.05_s","Max_Sa_0.1_s","Max_Sa_0.2_s","Max_Sa_0.3_s","Max_Sa_0.4_s","Max_Sa_0.5_s","Max_Sa_0.6_s","Max_Sa_0.7_s","Max_Sa_0.8_s","Max_Sa_0.9_s","Max_Sa_1_s","Max_Sa_2_s","Max_Sa_3_s","Acc_GM_max","GM_Sa_0.05_s","GM_Sa_0.1_s","GM_Sa_0.2_s","GM_Sa_0.3_s","GM_Sa_0.4_s","GM_Sa_0.5_s","GM_Sa_0.6_s","GM_Sa_0.7_s","GM_Sa_0.8_s","GM_Sa_0.9_s","GM_Sa_1_s","GM_Sa_2_s","GM_Sa_3_s","Acc_Res_max","Res_Sa_0.05_s","Res_Sa_0.1_s","Res_Sa_0.2_s","Res_Sa_0.3_s","Res_Sa_0.4_s","Res_Sa_0.5_s","Res_Sa_0.6_s","Res_Sa_0.7_s","Res_Sa_0.8_s","Res_Sa_0.9_s","Res_Sa_1_s","Res_Sa_2_s","Res_Sa_3_s","arias_ew_g","arias_ns_g","arias_ew_m","arias_ns_m","arias_ew_std","arias_ns_std","ew_m_time_5","ew_m_time_95","ns_m_time_5","ns_m_time_95"
"dir000","folkestone","Hchan","real10","stn02",0.614,0.298,5.533,0.675447961123836,0.983423815068071,1.26902671753881,0.558021373518547,0.368041971175498,0.252289749844464,0.168533707184633,0.177051455654793,0.125928139290481,0.0965965048215419,0.081064966389609,0.0206929401137788,0.0078212976345988,0.392907224265475,0.4740799957189,0.850333413883502,1.06331833791779,0.547524736299073,0.325892877914471,0.242810483014033,0.159727444798955,0.140286922491881,0.0880033926775825,0.0660632571897085,0.063218434730915,0.0157043871591039,0.00641859655278525,0.663391915066803,0.752960221424263,1.2278932254887,1.5505579275585,0.774596114227591,0.467683655918089,0.34388938553548,0.226538997331163,0.209052591610804,0.140143363869301,0.106640672405906,0.0948794026954198,0.0238798497796388,0.0094296788930271,1.39632291686081e-08,9.84936008976282e-09,1.34284911413187e-06,9.47216744178568e-07,21.4745544,30.3075396,48.5740944,70.0486488,48.6473364,78.954876
"dir000","folkestone","Hchan","real10","stn08",49.383,10.663,3.971,56.3530964137286,116.747115419467,80.5399776087387,38.2600287488511,18.2615455066604,10.2800205346086,7.83493808137019,6.04764930098739,4.68482274760052,3.76817411614536,3.14876221293923,0.864828140709611,0.343776582892871,22.9468252113446,26.2301189308209,56.4986428763105,36.2317538029827,17.4011732422766,8.24163753554659,4.8959886343891,3.71774806100706,2.7603243954845,2.11758486557821,1.702129192206,1.41330207650788,0.366233796658676,0.153057773885412,50.5206540595032,57.6604974813811,119.90609878388,82.1727025191433,39.0700106368012,18.6364974852443,10.5411574933769,8.03108460480463,6.17749077975779,4.78160392357347,3.84581596165322,3.21202515431071,0.878624481117427,0.350465534164463,2.47192641796772e-05,1.24249248044366e-06,0.00237726113385708,0.00011949097923783,0.16845706,1.7944339,2.38769572,2.55615278,2.3803715,4.1748054
"dir000","folkestone","Hchan","real20","stn01",0.477,1.055,2.819,1.14615062358984,1.79267584816282,2.74163429001712,1.30962714816056,0.723131973658703,0.481588874491211,0.313455610042744,0.272224112768488,0.231044156251102,0.182308434476581,0.132924254600984,0.0290553164571234,0.010941732288627,0.686291882918631,0.784689902658265,1.39757211218866,1.89154191561563,1.1354477400221,0.602994615007856,0.453004315820569,0.281097481652809,0.237647599313557,0.171388897784583,0.153253594992106,0.102375421878911,0.0263407393919272,0.0102192734845394,1.14577635535213,1.26580787844994,2.09780915994315,3.03639209307539,1.638363111567,0.880763322621594,0.643042002841226,0.402241956390477,0.34226712998489,0.263714052675792,0.223233843097357,0.154550199526287,0.0376092446842188,0.0145196181590342,2.65641191567228e-08,3.75383767539158e-08,2.55468154583471e-06,3.6100801155135e-06,24.462828,10.3417704,39.8289996,64.2918276,39.7411092,50.0828796
"dir000","folkestone","Hchan","real20","stn02",0.815,0.424,5.533,0.902737219321233,1.43010681083716,1.59712780135967,0.691896400351796,0.422731678978404,0.286040118961439,0.176513905167021,0.181116700142739,0.127746914192262,0.0967166168711127,0.0812470277300089,0.0207933156455207,0.00781866573242584,0.439004253841577,0.652140980516394,1.18064801267354,1.36303526242369,0.6868090532467,0.380951093477904,0.272484706697649,0.175173609091696,0.152159481018998,0.0940903182434909,0.070162587142266,0.0633507565009928,0.0163732257868508,0.0063993169326792,0.848598056689974,1.01827227051083,1.73067960055754,1.97584838102606,0.97134757726306,0.54457036420788,0.386259509675783,0.247747286082306,0.221685082897359,0.145333759656057,0.10929237043018,0.0950846631834642,0.0244659837530346,0.00941085935095121,2.33755087019823e-08,1.57094862046214e-08,2.24803165326595e-06,1.51078732423652e-06,21.1376412,30.4393752,48.5301492,69.6677904,48.5740944,79.0134696
"dir000","folkestone","Hchan","real20","stn08",59.162,12.784,3.971,67.2606825637236,163.506166711848,102.299264721679,44.4557805776795,21.3753163809258,12.5623566554944,9.34061026295818,7.08552316426111,5.4360570758767,4.33897619505374,3.59772144480612,0.96398259807412,0.386701223817825,27.5010628274618,31.3158721723359,77.7395831343709,46.0116067372509,20.2074913131296,9.44349784636154,5.88245295833601,4.41144402381892,3.23713346433132,2.46283897522747,1.96449013193935,1.61955452084307,0.412205046269266,0.172969364498066,60.5277622477488,68.8228583608233,167.631808967092,104.371530532035,45.3947949925108,21.7786695962451,12.8608001637417,9.57015298686825,7.23822417975537,5.54939057470979,4.42919886179467,3.6708485270619,0.979964570273737,0.394364912547945,4.10768291917929e-05,2.06066264909187e-06,0.00395037444601679,0.00019817471871612,0.16845706,1.83837922,2.3437504,2.51220746,2.29980508,4.1381843
"dir000","folkestone","Hchan","real30","stn01",0.414,0.947,2.819,1.03793513923924,1.76735994218501,2.29271425103144,1.09213798745724,0.600651533514421,0.445406315904297,0.305110999622618,0.277025320662164,0.236503879217232,0.185302981020859,0.135363173719992,0.029392074797535,0.00996154491877902,0.603219933225022,0.699538585196636,1.41930929953523,1.55940489798099,0.877686918519818,0.497032067928971,0.411044206415782,0.268041413413483,0.239271935729091,0.172688996370509,0.154580871464077,0.104048545594724,0.0251851869844216,0.00964329164713676,1.0218433469686,1.13999665006491,2.10302349439702,2.52616212850354,1.30010664414679,0.727969939233844,0.585047309827349,0.385410801413048,0.345619567635127,0.268017789979285,0.225756264057088,0.157224990266377,0.0364638048617489,0.013652049224847,2.13274397376461e-08,3.11810851663456e-08,2.05106807405158e-06,2.99869694092211e-06,24.4774764,10.3857156,39.843648,64.3211244,39.770406,50.1561216
"dir000","folkestone","Hchan","real30","stn02",0.778,0.408,5.533,0.866272269709732,1.46310830609692,1.33330325451256,0.553887291249405,0.349820625931934,0.23862423342763,0.175216891469401,0.183338956403104,0.13037214493809,0.0996293054897643,0.082269109460045,0.0208396066399297,0.00784089802447683,0.398859800491351,0.637795788306595,1.22235188503078,1.11554955304854,0.547634346651584,0.312672487024133,0.238103414954182,0.170509780630373,0.14929113312489,0.0895342677041003,0.0673696886038986,0.0642121241589687,0.0153090943686602,0.00644949252444854,0.804618511991863,0.985358970579561,1.78425345248449,1.6275309181577,0.774571747427305,0.447747131716915,0.336730686255921,0.241316044240779,0.219980779481993,0.144144820966313,0.109550505124519,0.0963330748388465,0.0236805482004986,0.00946692627161279,2.11108852065534e-08,1.35384478266535e-08,2.03024194159103e-06,1.30199772926552e-06,19.2479976,30.2050008,48.5447976,67.7927952,48.5887428,78.7937436
"dir000","folkestone","Hchan","real30","stn08",62.759,13.628,3.971,72.7031157817142,176.515811867835,93.0363165981384,37.0514809185261,18.1113372595542,11.5549195803627,8.64406141684913,6.52184770674193,4.98713739298589,3.98127605080204,3.30649432306875,0.889246335958063,0.352866379620593,29.2447120970612,33.9125139966165,84.6324576951586,42.244872276666,16.8792803639504,7.78779932884668,5.50468516659422,4.10965777715543,2.98696280792954,2.26586417016579,1.80761139907869,1.49127416207107,0.379699390785409,0.158466407102256,64.2214217451623,74.4040985942568,181.11985891727,94.9932000475804,37.8410066869984,18.4183188907787,11.8487602718426,8.86213107682284,6.6637786822137,5.09228446890914,4.06498684925121,3.37420736596809,0.903905137162666,0.359970950429164,4.42647829017061e-05,2.27554872031311e-06,0.00425696117918264,0.00021884039474952,0.17578128,1.80908234,2.36572306,2.54150434,2.32910196,4.1381843
"dir000","rasen","Bchan","real10","stn01",4.278,7.608,2.819,8.63349466417725,19.7501846120169,13.0207517517717,8.42012477011165,4.64293599489624,2.90039336955776,1.87784209825717,1.18656526826945,0.795654661764484,0.602935071002346,0.494651494463522,0.152982668413618,0.0745070051535106,5.69443797414635,6.46831711393833,14.9904952525894,9.69182769724059,6.04249969668796,3.21345887302347,2.0586715978156,1.32209419253603,0.838275527309964,0.568914381672418,0.440513951821889,0.36042320971579,0.0969416981941613,0.0461860974301252,8.7038371931752,9.90062148410971,22.7931046574542,14.8856163395643,9.471093012549,5.14814927481662,3.2476855845384,2.09588093407119,1.32614472967472,0.893612690706136,0.683458754269819,0.560043614361391,0.164855438663423,0.0798184572439439,2.41934469224332e-07,7.20930494261502e-07,2.32669308619741e-05,6.93321626308447e-05,2.0654244,0.600584399999999,28.9159416,30.981366,28.93059,29.5311744
"dir000","rasen","Bchan","real10","stn02",0.98,0.801,5.533,1.08712254771413,2.03758523713458,1.90896058179346,0.845934287604432,1.10729931145216,0.980373214166111,0.841747265998584,0.597662059751522,0.376427772494057,0.267244061601631,0.274933408909602,0.0513279955690703,0.0174894506660261,0.884513107342113,0.976360718869554,1.78985696318484,1.60311903374261,0.788530474204579,1.03636800057372,0.957106110162821,0.803141638702636,0.546594844696799,0.349226759265668,0.244796803144485,0.258755822841245,0.0465194565762718,0.015285484704295,1.26330737489496,1.3966963872087,2.57365795419115,2.3359352621087,1.12065255716384,1.47206445096097,1.35433325206679,1.13831642199512,0.77916045567472,0.496657065533794,0.348856314516276,0.367280976945818,0.0664239886347782,0.0220079666519095,3.61634920089219e-08,2.66445419541586e-08,3.47785692132471e-06,2.56241583716449e-06,9.05271119999999,9.228492,65.5222932,74.5750044,65.3172156,74.5457076
"dir000","rasen","Bchan","real10","stn03",0.408,0.579,3.971,0.644261585187678,1.33076896573033,1.42936748315538,0.816438891845461,0.617528890484166,0.667836534833736,0.404245664711253,0.246274895643839,0.264742759930976,0.189590611312628,0.155928264164708,0.0319857063432839,0.0130616723114765,0.456085754189933,0.539852364726161,1.13838678343999,1.39636063646765,0.749057605177229,0.554985668795162,0.559078137306124,0.286263280232356,0.210792609013719,0.218461126568365,0.188291422169036,0.141353744938366,0.0274663375709309,0.0112020181891843,0.653017003136978,0.787214035111942,1.64901915250796,1.97582990478256,1.06717741337476,0.793801134288608,0.815511423473336,0.452225534846223,0.305292630936591,0.320290679884259,0.266296873259967,0.201826328413522,0.0397411931585106,0.0162143230202717,1.77698578798097e-08,2.60290156287918e-08,1.70893405987979e-06,2.5032204339559e-06,12.4218432,12.1288752,76.4499996,88.8718428,76.3767576,88.5056328
"dir000","rasen","Bchan","real20","stn01",3.938,7.126,2.819,7.99154543054294,17.0172144186537,12.898376467089,7.54409418245875,4.88478436891599,2.94188545802294,2.03991662174549,1.34166933241455,0.93177967940782,0.682954765718027,0.537143545174596,0.15311721450748,0.0738438639186503,5.29721786767356,5.98805595840079,12.9466932449126,9.22877710675573,5.53643602773372,3.48386146891214,2.10773197969863,1.42163581711048,0.939124867755128,0.655270167654988,0.499977244177369,0.400752090072939,0.101486891116174,0.0477644389810553,8.14161976130671,9.16496391227013,19.6622726436846,14.4903460128139,8.56865400496371,5.4804124475207,3.30682396513047,2.26778446086349,1.49405308376246,1.0395021715226,0.774854920405423,0.614752054626731,0.167241148826555,0.0800465297906798,2.03258609544034e-07,6.075926234112e-07,1.95474585763798e-05,5.84324160442124e-05,2.9589768,0.512694,28.9159416,31.8749184,28.93059,29.443284
"dir000","rasen","Bchan","real20","stn02",0.933,0.791,5.533,1.02787804775289,1.70242352365934,1.74117312115738,0.895042132954156,1.18611713542004,1.1499324808592,0.954310904514869,0.677696649845492,0.392203105067019,0.280207917273728,0.284847946052499,0.0558630307507088,0.0188756945912522,0.858990366192776,0.944663499751976,1.57099830666972,1.50401611021883,0.839058335377132,1.12883717949213,1.12024429147187,0.91606404152141,0.620380176882916,0.361082978833323,0.257759988010362,0.268031458458737,0.049415581755989,0.0169482179698467,1.22311455788287,1.34546641307772,2.23605253736689,2.17244183113657,1.19155470991936,1.60032640354631,1.58534843696062,1.29767707391202,0.884192262893879,0.514134616078,0.367066504616634,0.380456445761874,0.0709326476191035,0.0242459502475368,3.68350168907312e-08,2.77635482808502e-08,3.54243772722263e-06,2.67003110554968e-06,9.0673596,9.2724372,65.4490512,74.5164108,65.2146768,74.487114
"dir000","rasen","Bchan","real20","stn03",0.398,0.525,3.971,0.588152986030824,1.11374740870721,1.07517267901315,0.893474832482983,0.673058840072563,0.752389434197555,0.472673179620748,0.280776427415997,0.28272533800472,0.198178480309776,0.158737255137489,0.0314240987921656,0.0129308099789613,0.454886819529869,0.511363204824145,0.985100422403224,1.06532252542952,0.814863529325686,0.62281602808514,0.631944989301077,0.336028134778253,0.236454008632149,0.23255573240608,0.193873952188592,0.145929021938145,0.0273315187095465,0.0111243492848889,0.656384120256577,0.737287158205297,1.41407921268171,1.50672118224922,1.16215191015927,0.88609101361587,0.92077085647031,0.529609626847219,0.344220035959834,0.341357572110827,0.274311380432747,0.207833785509733,0.039402782944415,0.0160871260562284,1.77272954021718e-08,2.569036263007e-08,1.70484081005286e-06,2.47065204494909e-06,12.5683272,12.1142268,76.4353512,89.0036784,76.2742188,88.3884456
"dir000","rasen","Bchan","real30","stn01",4.041,7.478,2.819,8.16066598881778,14.0302680323614,17.65932120082,8.61627998785788,4.84506283457852,2.83599175214083,1.69228473923599,1.12355600842927,0.853269192170137,0.652134282979107,0.53381899928281,0.15960172208271,0.0768577397691855,5.27024218846724,6.01033821157736,10.2372796501322,12.7985171928823,6.20117228912863,3.35546046048193,2.01821639232532,1.22616783764248,0.783941099123776,0.571596859679154,0.443621027155906,0.361624097941309,0.105180889241732,0.0494475800004217,8.27693207777495,9.28393407912623,15.8948054647317,19.947172381125,9.70354228541353,5.37353066095151,3.17894126836141,1.91132077116539,1.24962641618664,0.935246644198396,0.71857423598184,0.587345877549292,0.174004239331293,0.0831815430757692,2.13457795028221e-07,7.36423982275317e-07,2.05283181631545e-05,7.08221773260721e-05,2.1386664,0.439452000000003,28.9598868,31.0985532,28.9598868,29.3993388
"dir000","rasen","Bchan","real30","stn02",1.015,0.803,5.533,1.09548101696019,1.70219699862281,2.53671085864087,0.852167099623568,1.02188144307054,0.885323551182107,0.783472158610586,0.563810877527308,0.381623332838396,0.260154841075825,0.263259021993251,0.0537174368056043,0.0180685278059822,0.897884208982428,0.971418169789143,1.51343211967658,2.16702490214577,0.797629196720601,0.946042360251533,0.860517611377591,0.743820705890187,0.517649203616477,0.353983248157183,0.238169949165259,0.253066240767483,0.0476819367505204,0.0158286064816825,1.28884308089697,1.39359173251523,2.16981906431676,3.14036599281544,1.13294878705652,1.3458539394228,1.21793841233828,1.05475740324088,0.73740180108523,0.503435053637827,0.339445521607202,0.358447599203938,0.0683880964437867,0.0227760344906435,4.04713467731996e-08,2.8796157785076e-08,3.89214496918056e-06,2.76933755832273e-06,9.00876600000001,9.18454679999999,65.4636996,74.4724656,65.2439736,74.4285204
"dir000","rasen","Bchan","real30","stn03",0.448,0.525,3.971,0.568803654409941,0.910090147207147,1.67017937619247,0.868527586274238,0.597709891355988,0.579010042768578,0.368953858003838,0.234032108725477,0.247222099770863,0.193867004908827,0.157904046742815,0.0321081860910635,0.0132351342377319,0.427349623885408,0.52484555043645,0.793837113173922,1.66859654716598,0.803335752471453,0.530161357522949,0.489977568020506,0.262774705772093,0.203210249802089,0.208411298652817,0.193806585402896,0.142184491087279,0.0279645634093658,0.0114065152781968,0.610132302762278,0.747040275835967,1.14355975896255,2.35975398851752,1.14299802804445,0.760518909552646,0.712162258354025,0.413706315345998,0.293095182576279,0.303293432753507,0.274083928183643,0.203286318689731,0.0403005572584137,0.0164866129117155,2.14465966668096e-08,2.78794938563103e-08,2.06252744171163e-06,2.68118163609049e-06,12.231414,12.8319984,76.4207028,88.6521168,76.318164,89.1501624
"dir000","rasen","Hchan","real10","stn01",4.278,7.608,2.819,8.63349466417725,19.7501846120169,13.0207517517717,8.42012477011165,4.64293599489624,2.90039336955776,1.87784209825717,1.18656526826945,0.795654661764484,0.602935071002346,0.494651494463522,0.152982668413618,0.0745070051535106,5.69443797414635,6.46831711393833,14.9904952525894,9.69182769724059,6.04249969668796,3.21345887302347,2.0586715978156,1.32209419253603,0.838275527309964,0.568914381672418,0.440513951821889,0.36042320971579,0.0969416981941613,0.0461860974301252,8.7038371931752,9.90062148410971,22.7931046574542,14.8856163395643,9.471093012549,5.14814927481662,3.2476855845384,2.09588093407119,1.32614472967472,0.893612690706136,0.683458754269819,0.560043614361391,0.164855438663423,0.0798184572439439,2.41934469224332e-07,7.20930494261502e-07,2.32669308619741e-05,6.93321626308447e-05,2.0654244,0.600584399999999,28.9159416,30.981366,28.93059,29.5311744
