"event","channel","filtering","station","epidistance","station_latitude","station_longitude","Vs_30_value","site_type_binary","groundmotion","amplitude","component","groundmotion_bis","filtering_bis"
"swansea","Hchan","f10Hz","LBWR",230.895,53.4015,-1.7247,900,"Rock","Dis_Max",0.0017,"maximum","PGD","low frequency filtering (10 Hz)"
"swansea","Hchan","f10Hz","LMK",302.498,53.4573,-0.3274,900,"Rock","Dis_Max",0.0017,"maximum","PGD","low frequency filtering (10 Hz)"
"swansea","Hchan","f10Hz","MCH1",62.602,51.9973,-2.9983,760,"Soil","Dis_Max",0.0011,"maximum","PGD","low frequency filtering (10 Hz)"
"swansea","Hchan","f10Hz","MONM",71.175,51.8392,-2.8042,760,"Soil","Dis_Max",0.0026,"maximum","PGD","low frequency filtering (10 Hz)"
"swansea","Hchan","f10Hz","OLDB",89.287,51.6605,-2.5502,180,"Soil","Dis_Max",0.0206,"maximum","PGD","low frequency filtering (10 Hz)"
"swansea","Hchan","f10Hz","RSBS",66.224,51.9528,-4.7448,760,"Soil","Dis_Max",0.0033,"maximum","PGD","low frequency filtering (10 Hz)"
"swansea","Hchan","f10Hz","STNC",183.884,53.0913,-2.2062,760,"Soil","Dis_Max",0.0036,"maximum","PGD","low frequency filtering (10 Hz)"
"swansea","Hchan","f10Hz","STRD",115.098,51.7758,-2.1625,600,"Soil","Dis_Max",0.0068,"maximum","PGD","low frequency filtering (10 Hz)"
"swansea","Hchan","f10Hz","SWN1",143.375,51.5132,-1.8003,503,"Soil","Dis_Max",0.0073,"maximum","PGD","low frequency filtering (10 Hz)"
"swansea","Hchan","f10Hz","TGGS",145.146,50.477,-3.5536,759,"Soil","Dis_Max",0.0016,"maximum","PGD","low frequency filtering (10 Hz)"
"swansea","Hchan","f10Hz","WACR",322.317,52.7246,0.6266,466,"Soil","Dis_Max",4e-04,"maximum","PGD","low frequency filtering (10 Hz)"
"swansea","Hchan","f10Hz","WLF1",173.39,53.2894,-4.3966,2500,"Rock","Dis_Max",0.0023,"maximum","PGD","low frequency filtering (10 Hz)"
"swansea","Bchan","f10Hz","FOEL",131.571,52.8879,-3.2012,760,"Soil","Dis_Max",0.0032,"maximum","PGD","low frequency filtering (10 Hz)"
"swansea","Bchan","f10Hz","LLW",120.612,52.8492,-3.665,900,"Rock","Dis_Max",0.0017,"maximum","PGD","low frequency filtering (10 Hz)"
"swansea","Bchan","f10Hz","SBD",146.777,50.5653,-4.6856,900,"Rock","Dis_Max",0.003,"maximum","PGD","low frequency filtering (10 Hz)"
