"event","channel","filtering","station","epidistance","station_latitude","station_longitude","Vs_30_value","site_type_binary","groundmotion","amplitude","component","groundmotion_bis","filtering_bis"
"rasen","Hchan","35Hz","SWN1",232.518,51.5132,-1.8003,503,"Soil","Vel_Max",0.1086,"maximum","PGV","high frequency filtering (35 Hz)"
"swansea","Bchan","10Hz","CWF",203.161,52.7385,-1.3077,1050,"Rock","Vel_Max",0.0117,"maximum","PGV","low frequency filtering (10 Hz)"
"swansea","Bchan","10Hz","HPK",285.216,53.9582,-1.6242,760,"Soil","Vel_Max",0.0204,"maximum","PGV","low frequency filtering (10 Hz)"
"swansea","Bchan","10Hz","MCH1",62.603,51.9973,-2.9983,760,"Soil","Vel_Max",0.019,"maximum","PGV","low frequency filtering (10 Hz)"
"swansea","Bchan","10Hz","STNC",183.88,53.0913,-2.2062,760,"Soil","Vel_Max",0.0493,"maximum","PGV","low frequency filtering (10 Hz)"
"swansea","Bchan","10Hz","SWN1",143.377,51.5132,-1.8003,503,"Soil","Vel_Max",0.1055,"maximum","PGV","low frequency filtering (10 Hz)"
"swansea","Bchan","25Hz","CWF",203.161,52.7385,-1.3077,1050,"Rock","Vel_Max",0.0142,"maximum","PGV","high frequency filtering (35 Hz)"
"swansea","Bchan","25Hz","HPK",285.216,53.9582,-1.6242,760,"Soil","Vel_Max",0.0207,"maximum","PGV","high frequency filtering (35 Hz)"
"swansea","Bchan","25Hz","MCH1",62.603,51.9973,-2.9983,760,"Soil","Vel_Max",0.0216,"maximum","PGV","high frequency filtering (35 Hz)"
"swansea","Bchan","25Hz","STNC",183.88,53.0913,-2.2062,760,"Soil","Vel_Max",0.05,"maximum","PGV","high frequency filtering (35 Hz)"
"swansea","Bchan","25Hz","SWN1",143.377,51.5132,-1.8003,503,"Soil","Vel_Max",0.1066,"maximum","PGV","high frequency filtering (35 Hz)"
"swansea","Hchan","10Hz","CWF",203.161,52.7385,-1.3077,1050,"Rock","Vel_Max",0.0116,"maximum","PGV","low frequency filtering (10 Hz)"
"swansea","Hchan","10Hz","HPK",285.216,53.9582,-1.6242,760,"Soil","Vel_Max",0.0204,"maximum","PGV","low frequency filtering (10 Hz)"
"swansea","Hchan","10Hz","MCH1",62.603,51.9973,-2.9983,760,"Soil","Vel_Max",0.0193,"maximum","PGV","low frequency filtering (10 Hz)"
"swansea","Hchan","10Hz","STNC",183.88,53.0913,-2.2062,760,"Soil","Vel_Max",0.0497,"maximum","PGV","low frequency filtering (10 Hz)"
"swansea","Hchan","10Hz","SWN1",143.377,51.5132,-1.8003,503,"Soil","Vel_Max",0.1057,"maximum","PGV","low frequency filtering (10 Hz)"
"swansea","Hchan","35Hz","CWF",203.161,52.7385,-1.3077,1050,"Rock","Vel_Max",0.0142,"maximum","PGV","high frequency filtering (35 Hz)"
"swansea","Hchan","35Hz","HPK",285.216,53.9582,-1.6242,760,"Soil","Vel_Max",0.0208,"maximum","PGV","high frequency filtering (35 Hz)"
"swansea","Hchan","35Hz","MCH1",62.603,51.9973,-2.9983,760,"Soil","Vel_Max",0.0226,"maximum","PGV","high frequency filtering (35 Hz)"
"swansea","Hchan","35Hz","STNC",183.88,53.0913,-2.2062,760,"Soil","Vel_Max",0.051,"maximum","PGV","high frequency filtering (35 Hz)"
"swansea","Hchan","35Hz","SWN1",143.377,51.5132,-1.8003,503,"Soil","Vel_Max",0.106,"maximum","PGV","high frequency filtering (35 Hz)"
"folkestone","Hchan","10Hz","CWF",249.564,52.7385,-1.3077,1050,"Rock","Acc_Max",0.0873,"maximum","PGA","low frequency filtering (10 Hz)"
"folkestone","Hchan","10Hz","HPK",370.225,53.9582,-1.6242,760,"Soil","Acc_Max",0.0689,"maximum","PGA","low frequency filtering (10 Hz)"
"folkestone","Hchan","10Hz","MCH1",305.837,51.9973,-2.9983,760,"Soil","Acc_Max",0.0381,"maximum","PGA","low frequency filtering (10 Hz)"
"folkestone","Hchan","10Hz","STNC",320.291,53.0913,-2.2062,760,"Soil","Acc_Max",0.0727,"maximum","PGA","low frequency filtering (10 Hz)"
"folkestone","Hchan","10Hz","SWN1",212.155,51.5132,-1.8003,503,"Soil","Acc_Max",0.133,"maximum","PGA","low frequency filtering (10 Hz)"
"folkestone","Hchan","35Hz","CWF",249.564,52.7385,-1.3077,1050,"Rock","Acc_Max",0.1129,"maximum","PGA","high frequency filtering (35 Hz)"
