"event","event_longitude","event_latitude","channel","station_id","station","station_longitude","station_latitude","structure","Vs_30","site_type"
"swansea",-3.83,51.77,"Bchan","stn10","HPK",-1.6242,53.9582,"0009",589,"soil"
"swansea",-3.83,51.77,"Bchan","stn02","HTL",-4.4848,50.9943,"0009",390,"soil"
"swansea",-3.83,51.77,"Bchan","stn12","KESW",-3.1034,54.5885,"0009",900,"rock"
"swansea",-3.83,51.77,"Bchan","stn09","LBWR",-1.7247,53.4016,"0009",900,"rock"
"swansea",-3.83,51.77,"Bchan","stn14","LLW",-3.665,52.8492,"0004",900,"rock"
"swansea",-3.83,51.77,"Bchan","stn01","MCH1",-2.9983,51.9973,"0009",900,"rock"
"swansea",-3.83,51.77,"Bchan","stn16","SBD",-4.6856,50.5653,"0006",900,"rock"
"swansea",-3.83,51.77,"Bchan","stn06","STNC",-2.2062,53.0913,"0009",714,"soil"
"swansea",-3.83,51.77,"Bchan","stn03","SWN1",-1.8003,51.5132,"0009",503,"soil"
"swansea",-3.83,51.77,"Bchan","stn04","TGGS",-3.5536,50.477,"0009",759,"soil"
"swansea",-3.83,51.77,"Bchan","stn13","WACR",0.6266,52.7246,"0009",466,"soil"
"swansea",-3.83,51.77,"Bchan","stn18","WLF1",-4.3966,53.2894,"0005",445,"soil"
"swansea",-3.83,51.77,"Bchan","stn07","WOL",-1.22,51.31,"0009",500,"soil"
