"id","long","lat","order","hole","piece","group","LEVL_CODE","NUTS_ID","CNTR_CODE","NUTS_NAME","FID","group_char"
"26",125.2359595,462.21039856,40,FALSE,"1","26.1",0,"IE","IE","IRELAND","IE","26.1A"
"26",116.62774535,465.3856061,41,FALSE,"1","26.1",0,"IE","IE","IRELAND","IE","26.1A"
"26",115.07736602,462.8239255,42,FALSE,"1","26.1",0,"IE","IE","IRELAND","IE","26.1A"
"26",114.346486,453.85954703,43,FALSE,"1","26.1",0,"IE","IE","IRELAND","IE","26.1A"
"26",120.62619676,446.45677077,44,FALSE,"1","26.1",0,"IE","IE","IRELAND","IE","26.1A"
"26",121.45741105,423.46977064,45,FALSE,"1","26.1",0,"IE","IE","IRELAND","IE","26.1A"
"26",124.6044463,420.0713728,46,FALSE,"1","26.1",0,"IE","IE","IRELAND","IE","26.1A"
"26",128.24268623,416.42067052,47,FALSE,"1","26.1",0,"IE","IE","IRELAND","IE","26.1A"
"26",129.33814823,411.16423906,48,FALSE,"1","26.1",0,"IE","IE","IRELAND","IE","26.1A"
"26",125.45352161,403.69231706,49,FALSE,"1","26.1",0,"IE","IE","IRELAND","IE","26.1A"
"26",125.28368236,396.51095338,50,FALSE,"1","26.1",0,"IE","IE","IRELAND","IE","26.1A"
"26",120.01718865,390.66839996,51,FALSE,"1","26.1",0,"IE","IE","IRELAND","IE","26.1A"
"26",126.32642027,383.55779872,52,FALSE,"1","26.1",0,"IE","IE","IRELAND","IE","26.1A"
"26",126.15971252,376.05097074,53,FALSE,"1","26.1",0,"IE","IE","IRELAND","IE","26.1A"
"26",129.42380012,365.33644444,54,FALSE,"1","26.1",0,"IE","IE","IRELAND","IE","26.1A"
"26",128.91491376,352.48863332,55,FALSE,"1","26.1",0,"IE","IE","IRELAND","IE","26.1A"
"26",130.75321904,347.1215824,56,FALSE,"1","26.1",0,"IE","IE","IRELAND","IE","26.1A"
"26",121.69956154,331.10630124,57,FALSE,"1","26.1",0,"IE","IE","IRELAND","IE","26.1A"
"26",120.33099124,323.62328366,58,FALSE,"1","26.1",0,"IE","IE","IRELAND","IE","26.1A"
"26",114.87451986,313.47841623,59,FALSE,"1","26.1",0,"IE","IE","IRELAND","IE","26.1A"
"26",113.70503923,300.99982728,60,FALSE,"1","26.1",0,"IE","IE","IRELAND","IE","26.1A"
"26",102.43085756,282.54986063,61,FALSE,"1","26.1",0,"IE","IE","IRELAND","IE","26.1A"
"26",98.01832243,280.0566049,62,FALSE,"1","26.1",0,"IE","IE","IRELAND","IE","26.1A"
"26",104.11309225,268.98059571,63,FALSE,"1","26.1",0,"IE","IE","IRELAND","IE","26.1A"
"26",101.44948797,263.260903,64,FALSE,"1","26.1",0,"IE","IE","IRELAND","IE","26.1A"
"26",88.11466038,263.35975616,65,FALSE,"1","26.1",0,"IE","IE","IRELAND","IE","26.1A"
"26",72.77191253,270.43672757,66,FALSE,"1","26.1",0,"IE","IE","IRELAND","IE","26.1A"
"26",66.93021536,263.78229594,67,FALSE,"1","26.1",0,"IE","IE","IRELAND","IE","26.1A"
"26",61.66154639,270.5417842,68,FALSE,"1","26.1",0,"IE","IE","IRELAND","IE","26.1A"
"26",58.98108087,263.25887068,69,FALSE,"1","26.1",0,"IE","IE","IRELAND","IE","26.1A"
"26",53.60373194,260.86877502,70,FALSE,"1","26.1",0,"IE","IE","IRELAND","IE","26.1A"
"26",33.31263824,262.35485763,71,FALSE,"1","26.1",0,"IE","IE","IRELAND","IE","26.1A"
"26",17.28366497,258.87460536,72,FALSE,"1","26.1",0,"IE","IE","IRELAND","IE","26.1A"
"26",15.53907403,257.18453873,73,FALSE,"1","26.1",0,"IE","IE","IRELAND","IE","26.1A"
"26",16.92997088,251.69455659,74,FALSE,"1","26.1",0,"IE","IE","IRELAND","IE","26.1A"
"26",14.9725518,247.41674791,75,FALSE,"1","26.1",0,"IE","IE","IRELAND","IE","26.1A"
"26",6.55928099,243.41934791,76,FALSE,"1","26.1",0,"IE","IE","IRELAND","IE","26.1A"
"26",-1.2237709,244.55348781,77,FALSE,"1","26.1",0,"IE","IE","IRELAND","IE","26.1A"
"26",-14.5140613,233.56100423,78,FALSE,"1","26.1",0,"IE","IE","IRELAND","IE","26.1A"
"26",-31.45794167,230.93712645,79,FALSE,"1","26.1",0,"IE","IE","IRELAND","IE","26.1A"
"26",-42.58269251,220.73137101,80,FALSE,"1","26.1",0,"IE","IE","IRELAND","IE","26.1A"
