"id","long","lat","order","hole","piece","group","ID_0","ISO","NAME_ENGLI","NAME_ISO","NAME_FAO","NAME_LOCAL","NAME_OBSOL","NAME_VARIA","NAME_NONLA","NAME_FRENC","NAME_SPANI","NAME_RUSSI","NAME_ARABI","NAME_CHINE","WASPARTOF","CONTAINS","SOVEREIGN","ISO2","WWW","FIPS","ISON","VALIDFR","VALIDTO","POP2000","SQKM","POPSQKM","UNREGION1","UNREGION2","DEVELOPING","CIS","Transition","OECD","WBREGION","WBINCOME","WBDEBT","WBOTHER","CEEAC","CEMAC","CEPLG","COMESA","EAC","ECOWAS","IGAD","IOC","MRU","SACU","UEMOA","UMA","PALOP","PARTA","CACM","EurAsEC","Agadir","SAARC","ASEAN","NAFTA","GCC","CSN","CARICOM","EU","CAN","ACP","Landlocked","AOSIS","SIDS","Islands","LDC"
"1",-4.38638782501221,54.1954154968262,12,FALSE,"1","1.1","110","IMN","Isle of Man","ISLE OF MAN","Isle of Man","Isle of Man",NA,"Man",NA,"Île de Man","Isla Man",NA,NA,NA,NA,NA,"United Kingdom","IM",NA,"IM",833,"1765","Present",80000,572,139.86013986,"Western Europe","Europe",2,0,0,0,NA,"High income: nonOECD","Debt not classified",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1",-4.42972278594971,54.1681938171389,13,FALSE,"1","1.1","110","IMN","Isle of Man","ISLE OF MAN","Isle of Man","Isle of Man",NA,"Man",NA,"Île de Man","Isla Man",NA,NA,NA,NA,NA,"United Kingdom","IM",NA,"IM",833,"1765","Present",80000,572,139.86013986,"Western Europe","Europe",2,0,0,0,NA,"High income: nonOECD","Debt not classified",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1",-4.46694612503046,54.1648597717285,14,FALSE,"1","1.1","110","IMN","Isle of Man","ISLE OF MAN","Isle of Man","Isle of Man",NA,"Man",NA,"Île de Man","Isla Man",NA,NA,NA,NA,NA,"United Kingdom","IM",NA,"IM",833,"1765","Present",80000,572,139.86013986,"Western Europe","Europe",2,0,0,0,NA,"High income: nonOECD","Debt not classified",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1",-4.46472215652466,54.1429176330568,15,FALSE,"1","1.1","110","IMN","Isle of Man","ISLE OF MAN","Isle of Man","Isle of Man",NA,"Man",NA,"Île de Man","Isla Man",NA,NA,NA,NA,NA,"United Kingdom","IM",NA,"IM",833,"1765","Present",80000,572,139.86013986,"Western Europe","Europe",2,0,0,0,NA,"High income: nonOECD","Debt not classified",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1",-4.50139093399048,54.1268043518069,16,FALSE,"1","1.1","110","IMN","Isle of Man","ISLE OF MAN","Isle of Man","Isle of Man",NA,"Man",NA,"Île de Man","Isla Man",NA,NA,NA,NA,NA,"United Kingdom","IM",NA,"IM",833,"1765","Present",80000,572,139.86013986,"Western Europe","Europe",2,0,0,0,NA,"High income: nonOECD","Debt not classified",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1",-4.5236120223999,54.1262512207031,17,FALSE,"1","1.1","110","IMN","Isle of Man","ISLE OF MAN","Isle of Man","Isle of Man",NA,"Man",NA,"Île de Man","Isla Man",NA,NA,NA,NA,NA,"United Kingdom","IM",NA,"IM",833,"1765","Present",80000,572,139.86013986,"Western Europe","Europe",2,0,0,0,NA,"High income: nonOECD","Debt not classified",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1",-4.54416799545288,54.1043052673342,18,FALSE,"1","1.1","110","IMN","Isle of Man","ISLE OF MAN","Isle of Man","Isle of Man",NA,"Man",NA,"Île de Man","Isla Man",NA,NA,NA,NA,NA,"United Kingdom","IM",NA,"IM",833,"1765","Present",80000,572,139.86013986,"Western Europe","Europe",2,0,0,0,NA,"High income: nonOECD","Debt not classified",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1",-4.59527683258057,54.094306945801,19,FALSE,"1","1.1","110","IMN","Isle of Man","ISLE OF MAN","Isle of Man","Isle of Man",NA,"Man",NA,"Île de Man","Isla Man",NA,NA,NA,NA,NA,"United Kingdom","IM",NA,"IM",833,"1765","Present",80000,572,139.86013986,"Western Europe","Europe",2,0,0,0,NA,"High income: nonOECD","Debt not classified",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1",-4.62361192703241,54.0679168701174,20,FALSE,"1","1.1","110","IMN","Isle of Man","ISLE OF MAN","Isle of Man","Isle of Man",NA,"Man",NA,"Île de Man","Isla Man",NA,NA,NA,NA,NA,"United Kingdom","IM",NA,"IM",833,"1765","Present",80000,572,139.86013986,"Western Europe","Europe",2,0,0,0,NA,"High income: nonOECD","Debt not classified",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1",-4.64805507659912,54.075695037842,21,FALSE,"1","1.1","110","IMN","Isle of Man","ISLE OF MAN","Isle of Man","Isle of Man",NA,"Man",NA,"Île de Man","Isla Man",NA,NA,NA,NA,NA,"United Kingdom","IM",NA,"IM",833,"1765","Present",80000,572,139.86013986,"Western Europe","Europe",2,0,0,0,NA,"High income: nonOECD","Debt not classified",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1",-4.66416597366327,54.062084197998,22,FALSE,"1","1.1","110","IMN","Isle of Man","ISLE OF MAN","Isle of Man","Isle of Man",NA,"Man",NA,"Île de Man","Isla Man",NA,NA,NA,NA,NA,"United Kingdom","IM",NA,"IM",833,"1765","Present",80000,572,139.86013986,"Western Europe","Europe",2,0,0,0,NA,"High income: nonOECD","Debt not classified",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1",-4.6991667747497,54.084861755371,23,FALSE,"1","1.1","110","IMN","Isle of Man","ISLE OF MAN","Isle of Man","Isle of Man",NA,"Man",NA,"Île de Man","Isla Man",NA,NA,NA,NA,NA,"United Kingdom","IM",NA,"IM",833,"1765","Present",80000,572,139.86013986,"Western Europe","Europe",2,0,0,0,NA,"High income: nonOECD","Debt not classified",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1",-4.72583293914789,54.0845832824707,24,FALSE,"1","1.1","110","IMN","Isle of Man","ISLE OF MAN","Isle of Man","Isle of Man",NA,"Man",NA,"Île de Man","Isla Man",NA,NA,NA,NA,NA,"United Kingdom","IM",NA,"IM",833,"1765","Present",80000,572,139.86013986,"Western Europe","Europe",2,0,0,0,NA,"High income: nonOECD","Debt not classified",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
