"event","channel","filtering","station","epidistance","station_latitude","station_longitude","Dis_Max_EW","Dis_Max_NS","Dis_Max","Vel_Max_EW","Vel_Max_NS","Vel_Max","Acc_Max_EW","Acc_Max_NS","Acc_Max","Max_Sa_0.05_s","Max_Sa_0.1_s","Max_Sa_0.2_s","Max_Sa_0.3_s","Max_Sa_0.4_s","Max_Sa_0.5_s","Max_Sa_0.6_s","Max_Sa_0.7_s","Max_Sa_0.8_s","Max_Sa_0.9_s","Max_Sa_1_s","Max_Sa_2_s","Max_Sa_3_s","Dis_GM_max","Vel_GM_max","Acc_GM_max","GM_Sa_0.05_s","GM_Sa_0.1_s","GM_Sa_0.2_s","GM_Sa_0.3_s","GM_Sa_0.4_s","GM_Sa_0.5_s","GM_Sa_0.6_s","GM_Sa_0.7_s","GM_Sa_0.8_s","GM_Sa_0.9_s","GM_Sa_1_s","GM_Sa_2_s","GM_Sa_3_s","Dis_Res_max","Vel_Res_max","Acc_Res_max","Res_Sa_0.05_s","Res_Sa_0.1_s","Res_Sa_0.2_s","Res_Sa_0.3_s","Res_Sa_0.4_s","Res_Sa_0.5_s","Res_Sa_0.6_s","Res_Sa_0.7_s","Res_Sa_0.8_s","Res_Sa_0.9_s","Res_Sa_1_s","Res_Sa_2_s","Res_Sa_3_s","arias_ew_g","arias_ns_g","arias_ew_m","arias_ns_m","arias_ew_std","arias_ns_std","ew_m_time_5","ew_m_time_95","ns_m_time_5","ns_m_time_95"
"rasen","Bchan","10Hz","CWF",98.559,52.7385,-1.3077,0.0169,0.0122,0.0169,0.2945,0.1875,0.2945,10.7761,5.2631,10.7761,12.1484256003287,27.4005991275572,24.0894568485726,7.55359270505526,5.81540491206611,5.88511453034246,4.14243005621596,2.6995236386125,1.92091821603294,1.51173094034859,1.11779918180149,0.254643299167225,0.0992688942555651,0.0085,0.159,5.2836,852.387632853058,2091.63890538403,1901.39728384821,715.754197603291,576.906710487314,404.510313075309,243.515273410795,158.875083056891,126.049174111195,102.642885162879,78.2191251258415,20.0913901273632,7.43634336584681,0.017,0.3067,10.8472,1354.08046254332,3171.31869440559,2838.19969738462,1015.16389326412,815.92150964781,650.884708121543,438.280440579077,285.686971218341,209.142595260554,166.464066134603,124.461355131637,29.9953702179581,11.3831124144195,5.14791264812054e-06,2.72078242777567e-06,0.00049507673731362,0.000261658691465013,6.42,11.3,43.62,50.04,43.44,54.74
"rasen","Bchan","10Hz","MCH1",238.518,51.9973,-2.9983,0.002,0.0019,0.002,0.0369,0.0437,0.0437,1.1853,1.025,1.1853,1.31938183731523,2.76309160993705,2.89696185790337,2.43091723400481,1.15830150937405,0.840026639180454,0.521393567536076,0.46516765525648,0.312053150428179,0.231742810170257,0.142741824475396,0.0404279405611916,0.0123187552622771,0.0014,0.0209,0.7225,123.444168284387,256.439727437336,285.046300415005,195.996481116996,104.321103274182,82.0733758626876,48.7651669420434,42.2060850411249,30.502304826324,19.9473920581017,14.2652677804557,3.32489758518714,1.14615026498867,0.0021,0.0437,1.1891,175.348904526836,364.678389526865,403.221886673802,289.940602439819,149.145166465094,116.131936509607,69.2728241687163,60.2520269413023,43.1591682867563,28.8418158217358,20.1741430396157,4.88073464612029,1.62932689615705,2.05214391057941e-07,2.07958587427333e-07,1.97355468360286e-05,1.99994572552549e-05,27.66,26.34,76.04,103.7,75.88,102.22
"rasen","Bchan","25Hz","CWF",98.559,52.7385,-1.3077,0.0172,0.0123,0.0172,0.3584,0.1974,0.3584,15.1259,8.3557,15.1259,21.8712968433955,37.5400842948627,24.4808238137784,7.74073179608409,5.88519027715581,5.89605452556927,4.14508428489658,2.66165550154354,1.94314563495829,1.52645183851777,1.1296648966507,0.262978507209005,0.103042531858306,0.0084,0.197,6.4253,1917.94838169184,3125.36267252934,1952.24745068051,739.768697974971,586.137251189388,408.165280493439,245.128805684631,158.966237872676,128.029901118946,103.042141616281,78.8935764007476,20.4126007569283,7.66740929399999,0.0172,0.3585,15.1535,2759.04194463531,4567.59569953361,2901.18165498581,1048.33980476372,828.936881891806,653.815511945782,439.125643795993,282.591694329295,211.83515565625,167.746408964246,125.686860520376,30.7021610209229,11.7783031302579,1.01813738693653e-05,6.56963238299801e-06,0.00097914663692978,0.000631804070473497,10.34,12.76,43.72,54.06,43.46,56.22
"rasen","Bchan","25Hz","MCH1",238.518,51.9973,-2.9983,0.002,0.0019,0.002,0.0376,0.0482,0.0482,1.4406,1.3693,1.4406,1.96808757161627,3.76559249118754,2.9205332483351,2.42292400471639,1.1604209832269,0.849250109469963,0.522193042840235,0.466187723478882,0.314441702682593,0.231624600333911,0.143259693416991,0.0406109884707316,0.0124430681707932,0.0014,0.0215,0.7327,183.503088831542,374.000019086678,288.749408355163,196.423157337091,104.195271181808,83.2047114881791,49.1018659207403,42.2307939550529,30.7742049225258,19.9573321937872,14.2818596250814,3.34924942390591,1.14628665659515,0.0021,0.0482,1.4527,260.783172012302,528.94049706412,408.40618574157,289.934847566806,149.059882057361,117.71850818757,69.7034725019827,60.3060417771061,43.5414829932158,28.8477423507828,20.1977916472331,4.91142980528305,1.63199576144555,3.02956417934401e-07,3.12389889281763e-07,2.91354351154237e-05,3.00426556794514e-05,26.82,26.36,76.12,102.94,75.9,102.26
"rasen","Hchan","10Hz","CWF",98.559,52.7385,-1.3077,0.0173,0.0124,0.0173,0.2877,0.1866,0.2877,11.0047,5.3746,11.0047,12.5358428674929,27.5765280780914,25.2004967368196,7.7341640840466,5.87725118990144,5.98203902162946,4.15597037024428,2.70268700813277,1.9256645762475,1.53915267214083,1.12007995807386,0.25562868359269,0.0997046182878412,0.0081,0.1593,5.1832,874.248731177889,2145.49277209853,1997.00705557492,728.784885150224,584.875863920582,408.555564833914,244.215953908507,159.691453239508,126.594683566521,103.633114215213,78.2472017404562,20.1723408631913,7.48434702314572,0.0173,0.2982,11.0107,1393.99000877595,3223.50066564541,2975.74027257453,1034.29664006252,827.158913495536,660.08060835495,439.676468177044,286.265866403444,209.781146116952,168.993517065123,124.634537106034,30.1141145841584,11.4443700602458,5.25684546230309e-06,2.79932484724213e-06,0.000505552847907994,0.000269212146122867,6.45,11.29,43.63,50.08,43.46,54.75
"rasen","Hchan","10Hz","HPK",105.701,53.9582,-1.6242,0.0198,0.0236,0.0236,0.4805,0.6869,0.6869,14.6777,17.9746,17.9746,20.1344574863901,31.3105475438136,61.9199031355865,29.0732677842658,8.83387170127596,8.11170685378748,5.65932859829767,5.6152597643485,3.9353995075723,2.58533467855427,2.24520915587785,0.317271116779929,0.135408004076653,0.0187,0.4164,13.3216,1806.75918165839,3058.14217606067,5921.79638576892,2458.46253773499,873.43797021259,777.810654389953,506.756296246661,547.545064132749,345.80781437313,249.299835865214,220.684499746851,31.0128333077733,12.2316520224698,0.0265,0.7154,19.9104,2585.06168042872,4327.26701298824,8391.35032985026,3574.12493795866,1235.38628579133,1101.92976315643,725.386072108671,774.837862023427,497.199832355598,353.029438629077,312.187712028268,43.8815080434508,17.476707952963,1.68296564140015e-05,2.21639725664916e-05,0.00161851452366719,0.00213151775761645,10.12,8.72000000000001,47.24,57.36,47.4,56.12
"rasen","Hchan","10Hz","MCH1",238.518,51.9973,-2.9983,0.002,0.0019,0.002,0.0374,0.0433,0.0433,1.199,1.0956,1.199,1.34698289235611,3.0376986189069,2.94494477590256,2.48219701454422,1.17556492844076,0.851734748847931,0.524957970524178,0.466144497973588,0.312263503163886,0.232719730040082,0.144459077335467,0.040470582300094,0.012419104304976,0.0014,0.0208,0.725,127.397579303833,272.431126506951,288.951687196101,198.584217852662,105.785012285471,82.8065956656821,49.4799222800297,42.2828059422135,30.553227575459,20.0103494383911,14.3635820957181,3.32748434984062,1.15054870257117,0.0021,0.0434,1.2044,180.72655822691,389.834671855078,408.78691648731,294.710048226952,151.264987137313,117.19920929461,70.2199921662174,60.3648215336493,43.2293066097451,28.9417693559987,20.313836097754,4.88503491689006,1.6366128052346,2.09142293499546e-07,2.11367311380136e-07,2.01132947230262e-05,2.03272755475044e-05,27.65,26.36,76.06,103.71,75.9,102.26
"rasen","Hchan","10Hz","STNC",129.869,53.0913,-2.2062,0.0191,0.0139,0.0191,0.1832,0.1717,0.1832,4.3807,4.6003,4.6003,4.9493834869878,12.0351422740493,10.4722740568943,9.65152080301173,5.67742021759962,5.64652716125154,4.92384362193785,4.26613207232827,2.81094900791187,2.40072918197246,2.4554006569513,0.395038088790496,0.109169200463814,0.0113,0.1507,3.2171,490.484347013764,1140.18678368664,982.630726729268,873.597275704009,507.033486879765,517.979494682621,428.465361912725,342.105204614599,264.371454950076,219.744481235379,183.960907535565,34.4478331023903,10.8238439277129,0.0191,0.2147,4.7829,693.706299063247,1617.17664018063,1395.27901710484,1247.70524063399,726.205059559879,737.97947674415,617.620454213494,507.207900446099,375.283441285929,313.19522736165,281.577195976728,49.6275108903286,15.3083491136216,2.20589240758126e-06,2.80516199782081e-06,0.000212141520390585,0.000269773507136783,22.44,18.11,52.74,75.18,53.2,71.31
"rasen","Hchan","10Hz","SWN1",232.518,51.5132,-1.8003,0.0085,0.0134,0.0134,0.0964,0.1081,0.1081,2.1599,2.558,2.558,2.77331938925837,4.3875031972195,8.30305109331591,5.59804149023502,3.4239485095815,3.89964442334157,3.20399568007833,2.3706067684501,1.84800706695342,1.09136046437567,1.01419612354539,0.311082525358497,0.0941786580410179,0.0086,0.0832,1.7635,256.217845421939,421.465734272177,798.057595798175,440.608917928296,329.847206624069,337.503235432627,307.732189246052,197.383512336345,153.476278686486,95.9403395937416,79.7556401556654,28.6512703400079,8.77296980062732,0.0139,0.1176,2.7966,364.616525460792,597.005145214582,1130.39439048223,658.518141247787,467.12446442657,487.231369178707,435.907014228309,288.457546646078,224.494377000056,137.927280859,119.246141372752,40.7929909888655,12.4692260344141,9.23755983482588e-07,1.20550956928464e-06,8.88379678593538e-05,0.000115934318462005,23.4,21.6,77.53,100.93,77.73,99.33
"rasen","Hchan","35Hz","CWF",98.559,52.7385,-1.3077,0.018,0.0126,0.018,0.3434,0.1926,0.3434,16.5148,9.3683,16.5148,28.8960852327505,39.2703257786705,25.5267268361283,8.07287833343952,5.95112811995934,6.00374303674365,4.15708528575887,2.66575699956384,1.94963639788914,1.56176277157748,1.13648061596305,0.265069054956298,0.103898136801903,0.0083,0.1935,7.6996,2530.22832731259,3379.64399561148,2055.08317761772,764.115960454271,593.04703716115,414.818605694424,246.163247721877,161.015874383961,128.656660429404,104.539276522421,79.391945484839,20.5251726336251,7.78791477076828,0.018,0.3468,16.8328,3641.21868278969,4886.84785319942,3041.95152442209,1083.88573462203,838.705304068374,665.278692696702,440.524040569374,283.762844591614,212.647450458774,171.136065400209,126.458883394205,30.9065306376927,11.9174597617101,1.27177034503671e-05,8.48975514221853e-06,0.00122306642724961,0.000816463013982101,12.24,13.74,43.73,55.97,43.48,57.22
