"date_bis","year","month","day","hour","minute","second","longitude","latitude","depth","magnitude","Strike","Dip","Rake","event","channel","component","filtering","motion","station","epidistance","station_latitude","station_longitude"
2007-04-28 07:18:12,2007,4,28,8,18,12,1.17,51.1,5.3,4,326,72,315,"folkestone","Hchan","HHN","35Hz","disp","STNC",320.292,53.09133,-2.20617
2007-04-28 07:18:12,2007,4,28,8,18,12,1.17,51.1,5.3,4,326,72,315,"folkestone","Hchan","HHE","35Hz","disp","SWN1",212.156,51.51317,-1.80033
2007-04-28 07:18:12,2007,4,28,8,18,12,1.17,51.1,5.3,4,326,72,315,"folkestone","Hchan","HHN","35Hz","disp","SWN1",212.156,51.51317,-1.80033
2007-04-28 07:18:12,2007,4,28,8,18,12,1.17,51.1,5.3,4,326,72,315,"folkestone","Hchan","HHE","35Hz","disp","WOL",168.65,51.31,-1.219999
2007-04-28 07:18:12,2007,4,28,8,18,12,1.17,51.1,5.3,4,326,72,315,"folkestone","Hchan","HHN","35Hz","disp","WOL",168.65,51.31,-1.219999
2008-02-27 00:56:47,2008,2,27,0,56,47,-0.33,53.4,17.8,4.5,91,66,150,"rasen","Bchan","BHE","10Hz","accel","CWF",98.558,52.738499,-1.30767
2008-02-27 00:56:47,2008,2,27,0,56,47,-0.33,53.4,17.8,4.5,91,66,150,"rasen","Bchan","BHN","10Hz","accel","CWF",98.558,52.738499,-1.30767
2008-02-27 00:56:47,2008,2,27,0,56,47,-0.33,53.4,17.8,4.5,91,66,150,"rasen","Bchan","BHE","10Hz","accel","EDI",335.945,55.923328,-3.1875
2008-02-27 00:56:47,2008,2,27,0,56,47,-0.33,53.4,17.8,4.5,91,66,150,"rasen","Bchan","BHN","10Hz","accel","EDI",335.945,55.923328,-3.1875
2008-02-27 00:56:47,2008,2,27,0,56,47,-0.33,53.4,17.8,4.5,91,66,150,"rasen","Bchan","BHE","10Hz","accel","ESKGB",283.587,55.316502,-3.2052
2008-02-27 00:56:47,2008,2,27,0,56,47,-0.33,53.4,17.8,4.5,91,66,150,"rasen","Bchan","BHN","10Hz","accel","ESKGB",283.587,55.316502,-3.2052
2008-02-27 00:56:47,2008,2,27,0,56,47,-0.33,53.4,17.8,4.5,91,66,150,"rasen","Bchan","BHE","10Hz","accel","ESKII",283.595,55.3167,-3.205
2008-02-27 00:56:47,2008,2,27,0,56,47,-0.33,53.4,17.8,4.5,91,66,150,"rasen","Bchan","BHN","10Hz","accel","ESKII",283.595,55.3167,-3.205
2008-02-27 00:56:47,2008,2,27,0,56,47,-0.33,53.4,17.8,4.5,91,66,150,"rasen","Bchan","BHE","10Hz","accel","GAL1",329.548,54.866329,-4.71133
2008-02-27 00:56:47,2008,2,27,0,56,47,-0.33,53.4,17.8,4.5,91,66,150,"rasen","Bchan","BHN","10Hz","accel","GAL1",329.548,54.866329,-4.71133
2008-02-27 00:56:47,2008,2,27,0,56,47,-0.33,53.4,17.8,4.5,91,66,150,"rasen","Bchan","BHE","10Hz","accel","MCH1",238.517,51.99733,-2.99833
2008-02-27 00:56:47,2008,2,27,0,56,47,-0.33,53.4,17.8,4.5,91,66,150,"rasen","Bchan","BHN","10Hz","accel","MCH1",238.517,51.99733,-2.99833
2008-02-27 00:56:47,2008,2,27,0,56,47,-0.33,53.4,17.8,4.5,91,66,150,"rasen","Hchan","HHE","10Hz","accel","CWF",98.558,52.738499,-1.30767
2008-02-27 00:56:47,2008,2,27,0,56,47,-0.33,53.4,17.8,4.5,91,66,150,"rasen","Hchan","HHN","10Hz","accel","CWF",98.558,52.738499,-1.30767
2008-02-27 00:56:47,2008,2,27,0,56,47,-0.33,53.4,17.8,4.5,91,66,150,"rasen","Hchan","HHE","10Hz","accel","DYA",412.438,50.435329,-3.931
2008-02-27 00:56:47,2008,2,27,0,56,47,-0.33,53.4,17.8,4.5,91,66,150,"rasen","Hchan","HHN","10Hz","accel","DYA",412.438,50.435329,-3.931
2008-02-27 00:56:47,2008,2,27,0,56,47,-0.33,53.4,17.8,4.5,91,66,150,"rasen","Hchan","HHE","10Hz","accel","EDI",335.945,55.92333,-3.1875
2008-02-27 00:56:47,2008,2,27,0,56,47,-0.33,53.4,17.8,4.5,91,66,150,"rasen","Hchan","HHN","10Hz","accel","EDI",335.945,55.92333,-3.1875
2008-02-27 00:56:47,2008,2,27,0,56,47,-0.33,53.4,17.8,4.5,91,66,150,"rasen","Hchan","HHE","10Hz","accel","ESKGB",283.587,55.316502,-3.2052
2008-02-27 00:56:47,2008,2,27,0,56,47,-0.33,53.4,17.8,4.5,91,66,150,"rasen","Hchan","HHN","10Hz","accel","ESKGB",283.587,55.316502,-3.2052
2008-02-27 00:56:47,2008,2,27,0,56,47,-0.33,53.4,17.8,4.5,91,66,150,"rasen","Hchan","HHE","10Hz","accel","GAL1",329.548,54.866329,-4.71133
2008-02-27 00:56:47,2008,2,27,0,56,47,-0.33,53.4,17.8,4.5,91,66,150,"rasen","Hchan","HHN","10Hz","accel","GAL1",329.548,54.866329,-4.71133
